addicupo_state,remaining_addicupo,id
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,117a5ef5-78a0-4d68-8f60-f033daa625bc_103
AVAILABLE,1720600,118314b1-9ba0-416a-8f9d-6c23a625aa86_103
AVAILABLE,1526749.269,1184d7f5-5eb2-4fca-8898-9412d67ed6de_103
AVAILABLE,1351459.969,119c4c34-07b6-47d9-a304-e5cb650ea00e_103
AVAILABLE,1800000,119d4bbf-aa7a-470a-9f6d-5134eafcba82_103
AVAILABLE,1800000,11a9aada-08d1-4088-a6ed-08dd2670b51d_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,11aa5dd5-edfd-496c-886b-0455f7f9da58_103
AVAILABLE,1800000,11ab1e64-3e3f-44be-8d81-d0af50030ce8_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,11f7b2da-30fc-4e56-9025-7204d1bc7bcb_103
AVAILABLE,666058.9802,12046941-cd6d-40a7-b84b-155e5cc9238b_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,1206e71c-b14c-444d-bb24-fefbeef9b815_103
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,12190dbe-d895-4edd-a79c-af32a0607a20_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,1249c50e-e06a-4876-b793-4569a69a0f51_103
AVAILABLE,1500000,125027d2-0b90-4b63-aefa-c7b382ed09b5_103
AVAILABLE,2000000,12667c2b-c3a6-4a49-afd7-d6a05702cdb5_103
AVAILABLE,600000,1267b03d-a19f-4636-8b1d-ee97bd3df163_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,127a58e7-dc06-4c3c-93f0-a9eecdd9c724_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,12cb2360-eb81-4243-8759-2198f8e07fab_103
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,12d16669-cfe7-4ca7-9eab-4769b4a60af1_103
AVAILABLE,1784505.923,12d9b506-c17c-45ec-b63c-43566d75471a_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,12e2a4aa-da12-4a0b-981a-c7e35771a19d_103
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,12fa7c26-f227-44d5-8114-88fc6ecbc2c3_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,13102330-fc38-4e29-a602-8afbad9ad27f_103
AVAILABLE,1626133,132cf92f-a551-49b7-a22f-ecbb4a830750_103
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,13613ffa-efe3-432d-9cd9-da5e353196ec_103
AVAILABLE,1493883.512,136c80af-f489-47dc-a45c-35d05f5f3069_103
AVAILABLE,1799973.66,136f212a-5e46-4fd3-896a-1d0504b698ec_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,1380264a-7949-4be8-94e3-cb9e2ec99249_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,13910e5c-0549-4443-8efa-8b3b1a686298_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,13979b8a-3852-40b9-9057-8eba517b669e_103
AVAILABLE,673287.331,13caeb4c-4207-4774-8dd6-22af3bdb638c_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,13da50ed-0b91-485a-a8c8-9044f33d758b_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,13e3fc86-1045-4449-9a04-d93075536094_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,13e913ae-8d89-4428-9351-82715a1edf78_103
AVAILABLE,1800000,142ac785-07c9-4d3e-98e6-b28030d4249d_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,145e977c-3932-4b65-9b52-8c6d133697b6_103
AVAILABLE,1500000,1475ce8e-1e36-4cca-bdc1-836cc075727d_103
